Timestamp,Unique_Id,Floor_Id,Sensor_Id,Temperature
2021-11-02 21:52:19.419,fda28ff8-19e3-4432-af39-e1e159c44026,6,1,33.69926274
2021-11-02 21:52:20.419,b68e1084-9431-4486-8f47-ec1a03e47bfa,8,2,30.40562994
2021-11-02 21:52:21.419,64b6f6a5-d575-432e-9736-9477e545563d,3,3,20.88473169
2021-11-02 21:52:22.419,9ac330bd-96d9-4024-b040-3cefd0232604,8,1,23.3290187
2021-11-02 21:52:23.419,75a93e50-0b37-468a-b56c-88bef4c47ad9,6,0,39.54763921
2021-11-02 21:52:24.419,2ec85abe-a374-452d-8a44-32b9ec690fd3,4,1,30.904659594538977
2021-11-02 21:52:26.842,f91628a2-7f29-4cc8-8afc-efc58880613b,2,2,28.20024577566972
2021-11-02 21:52:28.867,54eccf8d-310d-4025-a358-185f0be00ac6,9,2,29.279844300762427
2021-11-02 21:52:30.892,c6b4647b-789f-43ed-9891-e691bb8458f4,6,3,38.308417313829096
2021-11-02 21:52:33.931,4ccec0fb-673b-46f6-b02e-7e1bb8bab420,9,3,31.875587980760255
2021-11-02 21:52:36.975,48bda148-1931-4c89-aa54-fd1054e87ea5,3,1,21.16523471033046
2021-11-02 21:52:39.006,d7f9bbf5-c103-4900-977a-d3d994ba5d69,2,1,39.4929854634729
2021-11-02 21:52:43.053,46208696-1cc8-426d-9538-31fbd999f44f,6,3,20.05309416713179
2021-11-02 21:52:48.127,7c24bb4d-2e57-4891-88f0-e5b7160a335f,0,2,35.62767187391306
2021-11-02 21:52:50.151,b566836e-2021-40d3-a971-0c8ca29c7834,2,2,20.573004302149045
2021-11-02 21:52:56.242,3139b5eb-3144-4d4a-b3f7-69ebd9d4a542,3,3,26.46700048586021
2021-11-02 21:52:58.275,4e1fe3a4-8b6e-41ba-bfa9-2475751e93b4,6,1,33.23039065328365
2021-11-02 21:53:00.309,ec2dcdcb-a587-4ed0-bdad-5b6308cc8f32,5,2,33.183233491095805
2021-11-02 21:53:04.362,5f50522e-4512-4c6e-a17f-e7c4bf929c2f,2,0,36.460140120419915
